xmin	xmax	clickSelects	group
0.0454545454545455	0.0747800586510264	2015-01-01	1
0.0747800586510264	0.104105571847507	2015-01-08	1
0.104105571847507	0.133431085043988	2015-01-15	1
0.133431085043988	0.162756598240469	2015-01-22	1
0.162756598240469	0.19208211143695	2015-01-29	1
0.19208211143695	0.221407624633431	2015-02-05	1
0.221407624633431	0.250733137829912	2015-02-12	1
0.250733137829912	0.280058651026393	2015-02-19	1
0.280058651026393	0.309384164222874	2015-02-26	1
0.309384164222874	0.338709677419355	2015-03-05	1
0.338709677419355	0.368035190615836	2015-03-12	1
0.368035190615836	0.397360703812317	2015-03-19	1
0.397360703812317	0.426686217008798	2015-03-26	1
0.426686217008798	0.456011730205279	2015-04-02	1
0.456011730205279	0.48533724340176	2015-04-09	1
0.48533724340176	0.51466275659824	2015-04-16	1
0.51466275659824	0.543988269794721	2015-04-23	1
0.543988269794721	0.573313782991202	2015-04-30	1
0.573313782991202	0.602639296187683	2015-05-07	1
0.602639296187683	0.631964809384164	2015-05-14	1
0.631964809384164	0.661290322580645	2015-05-21	1
0.661290322580645	0.690615835777126	2015-05-28	1
0.690615835777126	0.719941348973607	2015-06-04	1
0.719941348973607	0.749266862170088	2015-06-11	1
0.749266862170088	0.778592375366569	2015-06-18	1
0.778592375366569	0.80791788856305	2015-06-25	1
0.80791788856305	0.837243401759531	2015-07-02	1
0.837243401759531	0.866568914956012	2015-07-09	1
0.866568914956012	0.895894428152493	2015-07-16	1
0.895894428152493	0.925219941348974	2015-07-23	1
0.925219941348974	0.954545454545455	2015-07-30	1
